"countryname","deaths.100000.live.births","region"
"paraguay",58,"South America"
"saint-vincent-and-the-grenadines",56,"Central America and the Caribbean"
"ecuador",55,"South America"
"trinidad-and-tobago",54,"Central America and the Caribbean"
"peru",51,"South America"
"grenada",48,"Central America and the Caribbean"
"vietnam",48,"East and Southeast Asia"
"bhutan",47,"South Asia"
"honduras",47,"Central America and the Caribbean"
"saint-lucia",44,"Central America and the Caribbean"
"kyrgyzstan",42,"Central Asia"
"mexico",42,"North America"
"seychelles",42,"Africa"
"mongolia",41,"East and Southeast Asia"
"cabo-verde",40,"Africa"
"el-salvador",39,"Central America and the Caribbean"
"panama",37,"Central America and the Caribbean"
"dominica",36,"Central America and the Caribbean"
"tunisia",36,"Africa"
"brunei",36,"East and Southeast Asia"
"antigua-and-barbuda",35,"Central America and the Caribbean"
"cuba",35,"Central America and the Caribbean"
"barbados",35,"Central America and the Caribbean"
"thailand",34,"East and Southeast Asia"
"argentina",33,"South America"
"maldives",32,"South Asia"
"jordan",31,"Middle East"
"fiji",30,"Australia and Oceania"
"uzbekistan",26,"Central Asia"
"malaysia",26,"East and Southeast Asia"
"costa-rica",24,"Central America and the Caribbean"
"georgia",20,"Central Asia"
"syria",20,"Middle East"
"latvia",19,"Europe"
"moldova",19,"Europe"
"armenia",19,"Central Asia"
"sri-lanka",18,"South Asia"
"azerbaijan",18,"Central Asia"
"egypt",17,"Africa"
"bahrain",17,"Middle East"
"united-states",17,"North America"
"china",16,"East and Southeast Asia"
"west-bank",16,"Middle East"
"gaza-strip",16,"Middle East"
"iran",16,"Middle East"
"turkey-turkiye",15,"Middle East"
"uruguay",15,"South America"
"portugal",15,"Europe"
"ukraine",15,"Europe"
"lebanon",15,"Middle East"
"cyprus",14,"Europe"
"tajikistan",14,"Central Asia"
"oman",13,"Middle East"
"canada",12,"North America"
"romania",12,"Europe"
"luxembourg",12,"Europe"
"hungary",12,"Europe"
"andorra",11,"Europe"
"serbia",11,"Europe"
"puerto-rico",11,"Central America and the Caribbean"
"chile",10,"South America"
"kazakhstan",10,"Central Asia"
"russia",9,"Central Asia"
"lithuania",8,"Europe"
"kuwait",8,"Middle East"
"united-kingdom",8,"Europe"
"finland",8,"Europe"
"malta",8,"Europe"
"san-marino",8,"Europe"
"france",7,"Europe"
"albania",7,"Europe"
"new-zealand",7,"Australia and Oceania"
"saudi-arabia",7,"Middle East"
"italy",6,"Europe"
"bosnia-and-herzegovina",6,"Europe"
"montenegro",6,"Europe"
"singapore",6,"East and Southeast Asia"
"austria",6,"Europe"
"bulgaria",6,"Europe"
"turkmenistan",5,"Central Asia"
"estonia",5,"Europe"
"greece",5,"Europe"
"switzerland",5,"Europe"
"monaco",5,"Europe"
"ireland",4,"Europe"
"qatar",4,"Middle East"
"netherlands",4,"Europe"
"belgium",4,"Europe"
"denmark",4,"Europe"
"korea-south",4,"East and Southeast Asia"
"sweden",4,"Europe"
"slovakia",4,"Europe"
"germany",4,"Europe"
"japan",3,"East and Southeast Asia"
"spain",3,"Europe"
"north-macedonia",3,"Europe"
"iceland",3,"Europe"
"czechia",3,"Europe"
"croatia",3,"Europe"
"united-arab-emirates",3,"Middle East"
"slovenia",3,"Europe"
"australia",2,"Australia and Oceania"
"israel",2,"Middle East"
"poland",2,"Europe"
"belarus",1,"Europe"
"norway",1,"Europe"
"cook-islands",0,"Australia and Oceania"
